,acc,loss,val_acc,val_loss
0,0.27838,1.9236759182,0.445647821909,1.55114178639
1,0.47992,1.42559997192,0.500540692086,1.43630513282
2,0.56304,1.22801055782,0.604353572573,1.13009065258
3,0.60144,1.12440734093,0.637315764178,1.02239901582
4,0.62464,1.05476704073,0.649831784684,1.0097722168
5,0.64302,1.00492000454,0.650392502403,0.999278359557
6,0.66088,0.956718436222,0.663148830503,0.943902212681
7,0.67468,0.919567894669,0.684936719,0.932096141991
8,0.68626,0.885576426773,0.699715636014,0.868939175911
9,0.69462,0.86427891243,0.718840115348,0.833841192077
10,0.705,0.840282281246,0.696932073054,0.903295655829
11,0.7171,0.809862146587,0.737804389619,0.758567777229
12,0.72104,0.796476500435,0.70852691445,0.87964359006
13,0.72744,0.78164126915,0.756708586991,0.741914792651
14,0.73366,0.762396311655,0.731696571612,0.830418358387
15,0.73786,0.749381867409,0.734019545018,0.822938699231
16,0.74678,0.72948549448,0.74857818007,0.745247606597
17,0.74932,0.720716172962,0.749559436078,0.729872395054
18,0.75428,0.70913073699,0.756227971804,0.738773869584
19,0.75734,0.701760420094,0.756788689523,0.747266450512
